Track Name;Artist Name(s);Genres;Album Name;Similarity Score;Rank
ini cintaku;petra sihombing;indonesian indie indonesian pop indonesian;Mine;0.78233;1
istimewa;petra sihombing;indonesian indie indonesian pop indonesian;Mine;0.776728;2
cinta takkan kemana mana;petra sihombing;indonesian indie indonesian pop indonesian;Mine;0.769814;3
pilih saja aku;petra sihombing;indonesian indie indonesian pop indonesian;Mine;0.769557;4
dunia;feby putri;indonesian pop indonesian indie malay;Hitam Putih;0.760679;5
kisah secangkir kopi;gede robi;indonesian indie;Filosofi Kopi (Original Motion Picture Soundtrack);0.75342;6
semoga ada waktu luang;feby putri;indonesian pop indonesian indie malay;Hitam Putih;0.752428;7
mine milikku;petra sihombing;indonesian indie indonesian pop indonesian;Mine;0.751773;8
detik menit jam;feby putri;indonesian pop indonesian indie malay;2016;0.747455;9
untuk perempuan yang sedang pelukan;payung teduh;indonesian indie indonesian pop indonesian jazz indie;Dunia Batas;0.745502;10
